sequence_id,method,frame_i,frame_j,is_correct
sequence_3,random,0,5,0
sequence_3,random,0,6,0
sequence_3,random,0,7,0
sequence_3,random,1,2,0
sequence_3,random,1,3,0
sequence_3,random,1,4,0
sequence_3,random,1,5,0
sequence_3,random,1,6,0
sequence_3,random,1,7,0
sequence_3,random,2,3,1
sequence_3,random,2,4,1
sequence_3,random,2,5,0
sequence_3,random,2,6,0
sequence_3,random,2,7,0
sequence_3,random,3,4,0
sequence_3,random,3,5,0
sequence_3,random,3,6,0
sequence_3,random,3,7,0
sequence_3,random,4,5,0
sequence_3,random,4,6,0
sequence_3,random,4,7,0
sequence_3,random,5,6,0
sequence_3,random,5,7,0
sequence_3,random,6,7,1
sequence_3,greedy_nearest_neighbor,0,1,1
sequence_3,greedy_nearest_neighbor,0,2,1
sequence_3,greedy_nearest_neighbor,0,3,1
sequence_3,greedy_nearest_neighbor,0,4,1
sequence_3,greedy_nearest_neighbor,0,5,1
sequence_3,greedy_nearest_neighbor,0,6,1
sequence_3,greedy_nearest_neighbor,0,7,0
sequence_3,greedy_nearest_neighbor,1,2,1
sequence_3,greedy_nearest_neighbor,1,3,1
sequence_3,greedy_nearest_neighbor,1,4,1
sequence_3,greedy_nearest_neighbor,1,5,1
sequence_3,greedy_nearest_neighbor,1,6,1
sequence_3,greedy_nearest_neighbor,1,7,0
sequence_3,greedy_nearest_neighbor,2,3,1
sequence_3,greedy_nearest_neighbor,2,4,1
sequence_3,greedy_nearest_neighbor,2,5,1
sequence_3,greedy_nearest_neighbor,2,6,1
sequence_3,greedy_nearest_neighbor,2,7,0
sequence_3,greedy_nearest_neighbor,3,4,1
sequence_3,greedy_nearest_neighbor,3,5,1
sequence_3,greedy_nearest_neighbor,3,6,1
sequence_3,greedy_nearest_neighbor,3,7,0
sequence_3,greedy_nearest_neighbor,4,5,1
sequence_3,greedy_nearest_neighbor,4,6,1
sequence_3,greedy_nearest_neighbor,4,7,0
sequence_3,greedy_nearest_neighbor,5,6,1
sequence_3,greedy_nearest_neighbor,5,7,0
sequence_3,greedy_nearest_neighbor,6,7,0
sequence_3,continuity,0,1,0
sequence_3,continuity,0,2,0
sequence_3,continuity,0,3,0
sequence_3,continuity,0,4,0
sequence_3,continuity,0,5,0
sequence_3,continuity,0,6,0
sequence_3,continuity,0,7,1
sequence_3,continuity,1,2,0
sequence_3,continuity,1,3,0
sequence_3,continuity,1,4,0
sequence_3,continuity,1,5,0
sequence_3,continuity,1,6,0
sequence_3,continuity,1,7,1
sequence_3,continuity,2,3,0
sequence_3,continuity,2,4,0
sequence_3,continuity,2,5,0
sequence_3,continuity,2,6,0
sequence_3,continuity,2,7,1
sequence_3,continuity,3,4,0
sequence_3,continuity,3,5,0
sequence_3,continuity,3,6,0
sequence_3,continuity,3,7,1
sequence_3,continuity,4,5,0
sequence_3,continuity,4,6,0
sequence_3,continuity,4,7,1
sequence_3,continuity,5,6,0
sequence_3,continuity,5,7,1
sequence_3,continuity,6,7,1
sequence_4,random,0,1,0
sequence_4,random,0,2,0
sequence_4,random,0,3,0
sequence_4,random,0,4,1
sequence_4,random,0,5,0
sequence_4,random,0,6,0
sequence_4,random,0,7,0
sequence_4,random,1,2,1
sequence_4,random,1,3,1
sequence_4,random,1,4,1
sequence_4,random,1,5,1
sequence_4,random,1,6,1
sequence_4,random,1,7,1
sequence_4,random,2,3,0
sequence_4,random,2,4,1
sequence_4,random,2,5,1
sequence_4,random,2,6,0
sequence_4,random,2,7,1
sequence_4,random,3,4,1
sequence_4,random,3,5,1
sequence_4,random,3,6,0
sequence_4,random,3,7,1
sequence_4,random,4,5,0
sequence_4,random,4,6,0
sequence_4,random,4,7,0
sequence_4,random,5,6,0
sequence_4,random,5,7,1
sequence_4,random,6,7,1
sequence_4,greedy_nearest_neighbor,0,1,1
sequence_4,greedy_nearest_neighbor,0,2,1
sequence_4,greedy_nearest_neighbor,0,3,1
sequence_4,greedy_nearest_neighbor,0,4,1
sequence_4,greedy_nearest_neighbor,0,5,1
sequence_4,greedy_nearest_neighbor,0,6,1
sequence_4,greedy_nearest_neighbor,0,7,1
sequence_4,greedy_nearest_neighbor,1,2,1
sequence_4,greedy_nearest_neighbor,1,3,1
sequence_4,greedy_nearest_neighbor,1,4,1
sequence_4,greedy_nearest_neighbor,1,5,1
sequence_4,greedy_nearest_neighbor,1,6,1
sequence_4,greedy_nearest_neighbor,1,7,1
sequence_4,greedy_nearest_neighbor,2,3,1
sequence_4,greedy_nearest_neighbor,2,4,1
sequence_4,greedy_nearest_neighbor,2,5,1
sequence_4,greedy_nearest_neighbor,2,6,1
sequence_4,greedy_nearest_neighbor,2,7,1
sequence_4,greedy_nearest_neighbor,3,4,1
sequence_4,greedy_nearest_neighbor,3,5,1
sequence_4,greedy_nearest_neighbor,3,6,1
sequence_4,greedy_nearest_neighbor,3,7,1
sequence_4,greedy_nearest_neighbor,4,5,1
sequence_4,greedy_nearest_neighbor,4,6,1
sequence_4,greedy_nearest_neighbor,4,7,1
sequence_4,greedy_nearest_neighbor,5,6,1
sequence_4,greedy_nearest_neighbor,5,7,1
sequence_4,greedy_nearest_neighbor,6,7,1
sequence_4,continuity,0,1,1
sequence_4,continuity,0,2,1
sequence_4,continuity,0,3,1
sequence_4,continuity,0,4,1
sequence_4,continuity,0,5,1
sequence_4,continuity,0,6,1
sequence_4,continuity,0,7,1
sequence_4,continuity,1,2,1
sequence_4,continuity,1,3,1
sequence_4,continuity,1,4,1
sequence_4,continuity,1,5,1
sequence_4,continuity,1,6,1
sequence_4,continuity,1,7,1
sequence_4,continuity,2,3,1
sequence_4,continuity,2,4,1
sequence_4,continuity,2,5,1
sequence_4,continuity,2,6,1
sequence_4,continuity,2,7,1
sequence_4,continuity,3,4,1
sequence_4,continuity,3,5,1
sequence_4,continuity,3,6,1
sequence_4,continuity,3,7,1
sequence_4,continuity,4,5,1
sequence_4,continuity,4,6,1
sequence_4,continuity,4,7,1
sequence_4,continuity,5,6,1
sequence_4,continuity,5,7,1
sequence_4,continuity,6,7,1
sequence_5,random,0,1,1
sequence_5,random,0,2,1
sequence_5,random,0,3,1
sequence_5,random,0,4,1
sequence_5,random,0,5,1
sequence_5,random,0,6,1
sequence_5,random,0,7,1
sequence_5,random,1,2,0
sequence_5,random,1,3,0
sequence_5,random,1,4,0
sequence_5,random,1,5,0
sequence_5,random,1,6,0
sequence_5,random,1,7,0
sequence_5,random,2,3,1
sequence_5,random,2,4,1
sequence_5,random,2,5,1
sequence_5,random,2,6,1
sequence_5,random,2,7,1
sequence_5,random,3,4,0
sequence_5,random,3,5,1
sequence_5,random,3,6,0
sequence_5,random,3,7,0
sequence_5,random,4,5,1
sequence_5,random,4,6,0
sequence_5,random,4,7,0
sequence_5,random,5,6,0
sequence_5,random,5,7,0
sequence_5,random,6,7,1
sequence_5,greedy_nearest_neighbor,0,1,0
sequence_5,greedy_nearest_neighbor,0,2,0
sequence_5,greedy_nearest_neighbor,0,3,1
sequence_5,greedy_nearest_neighbor,0,4,0
sequence_5,greedy_nearest_neighbor,0,5,1
sequence_5,greedy_nearest_neighbor,0,6,0
sequence_5,greedy_nearest_neighbor,0,7,0
sequence_5,greedy_nearest_neighbor,1,2,0
sequence_5,greedy_nearest_neighbor,1,3,1
sequence_5,greedy_nearest_neighbor,1,4,0
sequence_5,greedy_nearest_neighbor,1,5,1
sequence_5,greedy_nearest_neighbor,1,6,0
sequence_5,greedy_nearest_neighbor,1,7,0
sequence_5,greedy_nearest_neighbor,2,3,1
sequence_5,greedy_nearest_neighbor,2,4,1
sequence_5,greedy_nearest_neighbor,2,5,1
sequence_5,greedy_nearest_neighbor,2,6,0
sequence_5,greedy_nearest_neighbor,2,7,0
sequence_5,greedy_nearest_neighbor,3,4,0
sequence_5,greedy_nearest_neighbor,3,5,1
sequence_5,greedy_nearest_neighbor,3,6,0
sequence_5,greedy_nearest_neighbor,3,7,0
sequence_5,greedy_nearest_neighbor,4,5,1
sequence_5,greedy_nearest_neighbor,4,6,0
sequence_5,greedy_nearest_neighbor,4,7,0
sequence_5,greedy_nearest_neighbor,5,6,0
sequence_5,greedy_nearest_neighbor,5,7,0
sequence_5,greedy_nearest_neighbor,6,7,1
sequence_5,continuity,0,1,0
sequence_5,continuity,0,2,1
sequence_5,continuity,0,3,1
sequence_5,continuity,0,4,1
sequence_5,continuity,0,5,1
sequence_5,continuity,0,6,1
sequence_5,continuity,0,7,1
sequence_5,continuity,1,2,1
sequence_5,continuity,1,3,1
sequence_5,continuity,1,4,1
sequence_5,continuity,1,5,1
sequence_5,continuity,1,6,1
sequence_5,continuity,1,7,1
sequence_5,continuity,2,3,0
sequence_5,continuity,2,4,1
sequence_5,continuity,2,5,0
sequence_5,continuity,2,6,0
sequence_5,continuity,2,7,0
sequence_5,continuity,3,4,1
sequence_5,continuity,3,5,1
sequence_5,continuity,3,6,1
sequence_5,continuity,3,7,1
sequence_5,continuity,4,5,0
sequence_5,continuity,4,6,0
sequence_5,continuity,4,7,0
sequence_5,continuity,5,6,1
sequence_5,continuity,5,7,1
sequence_5,continuity,6,7,1
sequence_6,random,0,1,0
sequence_6,random,0,2,0
sequence_6,random,0,3,1
sequence_6,random,0,4,0
sequence_6,random,0,5,0
sequence_6,random,0,6,0
sequence_6,random,0,7,0
sequence_6,random,1,2,1
sequence_6,random,1,3,1
sequence_6,random,1,4,0
sequence_6,random,1,5,1
sequence_6,random,1,6,1
sequence_6,random,1,7,1
sequence_6,random,2,3,1
sequence_6,random,2,4,0
sequence_6,random,2,5,1
sequence_6,random,2,6,1
sequence_6,random,2,7,1
sequence_6,random,3,4,0
sequence_6,random,3,5,0
sequence_6,random,3,6,0
sequence_6,random,3,7,0
sequence_6,random,4,5,1
sequence_6,random,4,6,1
sequence_6,random,4,7,1
sequence_6,random,5,6,1
sequence_6,random,5,7,0
sequence_6,random,6,7,0
sequence_6,greedy_nearest_neighbor,0,1,1
sequence_6,greedy_nearest_neighbor,0,2,1
sequence_6,greedy_nearest_neighbor,0,3,0
sequence_6,greedy_nearest_neighbor,0,4,0
sequence_6,greedy_nearest_neighbor,0,5,1
sequence_6,greedy_nearest_neighbor,0,6,1
sequence_6,greedy_nearest_neighbor,0,7,1
sequence_6,greedy_nearest_neighbor,1,2,1
sequence_6,greedy_nearest_neighbor,1,3,0
sequence_6,greedy_nearest_neighbor,1,4,0
sequence_6,greedy_nearest_neighbor,1,5,1
sequence_6,greedy_nearest_neighbor,1,6,1
sequence_6,greedy_nearest_neighbor,1,7,1
sequence_6,greedy_nearest_neighbor,2,3,0
sequence_6,greedy_nearest_neighbor,2,4,0
sequence_6,greedy_nearest_neighbor,2,5,1
sequence_6,greedy_nearest_neighbor,2,6,1
sequence_6,greedy_nearest_neighbor,2,7,1
sequence_6,greedy_nearest_neighbor,3,4,1
sequence_6,greedy_nearest_neighbor,3,5,1
sequence_6,greedy_nearest_neighbor,3,6,1
sequence_6,greedy_nearest_neighbor,3,7,1
sequence_6,greedy_nearest_neighbor,4,5,1
sequence_6,greedy_nearest_neighbor,4,6,1
sequence_6,greedy_nearest_neighbor,4,7,1
sequence_6,greedy_nearest_neighbor,5,6,0
sequence_6,greedy_nearest_neighbor,5,7,1
sequence_6,greedy_nearest_neighbor,6,7,1
sequence_6,continuity,0,1,1
sequence_6,continuity,0,2,1
sequence_6,continuity,0,3,0
sequence_6,continuity,0,4,0
sequence_6,continuity,0,5,1
sequence_6,continuity,0,6,1
sequence_6,continuity,0,7,1
sequence_6,continuity,1,2,1
sequence_6,continuity,1,3,0
sequence_6,continuity,1,4,0
sequence_6,continuity,1,5,1
sequence_6,continuity,1,6,1
sequence_6,continuity,1,7,1
sequence_6,continuity,2,3,0
sequence_6,continuity,2,4,0
sequence_6,continuity,2,5,1
sequence_6,continuity,2,6,1
sequence_6,continuity,2,7,1
sequence_6,continuity,3,4,1
sequence_6,continuity,3,5,1
sequence_6,continuity,3,6,1
sequence_6,continuity,3,7,1
sequence_6,continuity,4,5,1
sequence_6,continuity,4,6,1
sequence_6,continuity,4,7,1
sequence_6,continuity,5,6,0
sequence_6,continuity,5,7,1
sequence_6,continuity,6,7,1
sequence_7,random,0,1,0
sequence_7,random,0,2,1
sequence_7,random,0,3,1
sequence_7,random,0,4,0
sequence_7,random,0,5,1
sequence_7,random,0,6,0
sequence_7,random,0,7,1
sequence_7,random,1,2,1
sequence_7,random,1,3,1
sequence_7,random,1,4,0
sequence_7,random,1,5,1
sequence_7,random,1,6,0
sequence_7,random,1,7,1
sequence_7,random,2,3,1
sequence_7,random,2,4,0
sequence_7,random,2,5,0
sequence_7,random,2,6,0
sequence_7,random,2,7,1
sequence_7,random,3,4,0
sequence_7,random,3,5,0
sequence_7,random,3,6,0
sequence_7,random,3,7,0
sequence_7,random,4,5,1
sequence_7,random,4,6,0
sequence_7,random,4,7,1
sequence_7,random,5,6,0
sequence_7,random,5,7,1
sequence_7,random,6,7,1
sequence_7,greedy_nearest_neighbor,0,1,1
sequence_7,greedy_nearest_neighbor,0,2,1
sequence_7,greedy_nearest_neighbor,0,3,1
sequence_7,greedy_nearest_neighbor,0,4,0
sequence_7,greedy_nearest_neighbor,0,5,0
sequence_7,greedy_nearest_neighbor,0,6,1
sequence_7,greedy_nearest_neighbor,0,7,1
sequence_7,greedy_nearest_neighbor,1,2,1
sequence_7,greedy_nearest_neighbor,1,3,1
sequence_7,greedy_nearest_neighbor,1,4,0
sequence_7,greedy_nearest_neighbor,1,5,0
sequence_7,greedy_nearest_neighbor,1,6,1
sequence_7,greedy_nearest_neighbor,1,7,1
sequence_7,greedy_nearest_neighbor,2,3,1
sequence_7,greedy_nearest_neighbor,2,4,0
sequence_7,greedy_nearest_neighbor,2,5,0
sequence_7,greedy_nearest_neighbor,2,6,1
sequence_7,greedy_nearest_neighbor,2,7,1
sequence_7,greedy_nearest_neighbor,3,4,0
sequence_7,greedy_nearest_neighbor,3,5,0
sequence_7,greedy_nearest_neighbor,3,6,1
sequence_7,greedy_nearest_neighbor,3,7,0
sequence_7,greedy_nearest_neighbor,4,5,0
sequence_7,greedy_nearest_neighbor,4,6,1
sequence_7,greedy_nearest_neighbor,4,7,1
sequence_7,greedy_nearest_neighbor,5,6,1
sequence_7,greedy_nearest_neighbor,5,7,1
sequence_7,greedy_nearest_neighbor,6,7,0
sequence_7,continuity,0,1,1
sequence_7,continuity,0,2,1
sequence_7,continuity,0,3,1
sequence_7,continuity,0,4,0
sequence_7,continuity,0,5,0
sequence_7,continuity,0,6,1
sequence_7,continuity,0,7,1
sequence_7,continuity,1,2,0
sequence_7,continuity,1,3,1
sequence_7,continuity,1,4,0
sequence_7,continuity,1,5,0
sequence_7,continuity,1,6,1
sequence_7,continuity,1,7,1
sequence_7,continuity,2,3,1
sequence_7,continuity,2,4,0
sequence_7,continuity,2,5,0
sequence_7,continuity,2,6,1
sequence_7,continuity,2,7,1
sequence_7,continuity,3,4,0
sequence_7,continuity,3,5,0
sequence_7,continuity,3,6,1
sequence_7,continuity,3,7,1
sequence_7,continuity,4,5,0
sequence_7,continuity,4,6,1
sequence_7,continuity,4,7,1
sequence_7,continuity,5,6,1
sequence_7,continuity,5,7,1
sequence_7,continuity,6,7,0
